model,year,price,type,distance,fuel,tax,miles per galoon,size
12,2019,27000.0,0,49.0,0,145.0,50.4,2.0
3,2017,16000.0,1,16359.0,3,145.0,46.3,2.0
2,2017,15127.0,2,26630.0,3,125.0,51.4,2.0
10,2019,45898.0,2,25.0,3,145.0,34.0,3.0
3,2020,27490.0,2,100.0,0,145.0,60.1,2.0
11,2017,17800.0,0,31238.0,0,145.0,55.4,2.0
3,2019,25490.0,2,8794.0,0,145.0,60.1,2.0
3,2018,20500.0,2,6668.0,0,145.0,65.7,2.0
1,2016,14600.0,1,15577.0,3,160.0,44.1,2.0
2,2016,13798.0,2,34860.0,3,125.0,54.3,1.5
2,2019,26898.0,2,10707.0,0,150.0,52.3,2.0
1,2019,16998.0,1,7201.0,3,150.0,42.8,1.5
2,2017,19700.0,0,27748.0,0,200.0,49.6,3.0
3,2019,26550.0,2,7292.0,0,145.0,58.9,2.0
1,2019,23500.0,2,2164.0,0,145.0,49.6,2.0
2,2014,11998.0,1,11545.0,3,165.0,44.8,2.0
4,2018,25998.0,2,24141.0,1,140.0,104.0847498788246,2.0
12,2019,27898.0,2,3770.0,0,145.0,50.4,2.0
0,2016,11400.0,1,22920.0,0,20.0,72.4,1.5
0,2018,23498.0,2,11131.0,3,145.0,39.8,3.0
15,2018,34756.0,0,20630.0,0,145.0,47.1,3.0
16,2017,29498.0,2,40429.0,0,200.0,47.1,3.0
3,2016,23990.0,2,22254.0,3,200.0,41.5,3.0
2,2016,19998.0,2,26711.0,0,160.0,51.4,3.0
4,2015,10900.0,0,79563.0,0,125.0,60.1,2.0
0,2017,13450.0,1,15663.0,3,150.0,53.3,1.5
1,2015,12000.0,1,28410.0,3,30.0,57.6,1.5
12,2020,29998.0,1,1850.0,0,150.0,49.6,2.0
4,2019,27898.0,2,11871.0,0,150.0,62.8,2.0
10,2019,40950.0,2,19322.0,3,150.0,34.0,3.0
0,2017,14991.0,1,20847.0,3,145.0,52.3,1.5
2,2018,19000.0,0,20681.0,0,145.0,64.2,2.0
0,2017,23000.0,2,18100.0,3,150.0,39.8,3.0
0,2019,22000.0,1,2574.0,3,145.0,44.1,1.5
